File,R,G,B,Fold
8D5U5524.tiff,0.312312526786261,0.422903402704884,0.264784070508855,1
8D5U5525.tiff,0.305581200409588,0.425354143196933,0.269064656393479,2
8D5U5526.tiff,0.366713277311552,0.446667176667844,0.186619546020603,1
8D5U5527.tiff,0.354955362390757,0.434976342021268,0.210068295587976,2
8D5U5528.tiff,0.358835328594659,0.438777744158471,0.20238692724687,1
8D5U5529.tiff,0.277838267157624,0.424215150164264,0.297946582678112,3
8D5U5530.tiff,0.289721533056714,0.425189464582503,0.285089002360783,3
8D5U5531.tiff,0.316389906931021,0.436840739465446,0.246769353603533,3
8D5U5532.tiff,0.319919322840342,0.427682649740018,0.25239802741964,3
8D5U5533.tiff,0.266562196689927,0.427344005523782,0.306093797786291,2
8D5U5534.tiff,0.339991295538458,0.412854835389871,0.247153869071671,1
8D5U5535.tiff,0.285349674781514,0.432346798822083,0.282303526396403,1
8D5U5536.tiff,0.237624632613787,0.419394396171201,0.342980971215012,2
8D5U5537.tiff,0.251204895049368,0.425533170973479,0.323261933977153,2
8D5U5538.tiff,0.30613604945551,0.42721375935087,0.26665019119362,3
8D5U5539.tiff,0.297751090538517,0.429338437304548,0.272910472156935,1
8D5U5540.tiff,0.223545878243002,0.407783514972183,0.368670606784815,2
8D5U5541.tiff,0.221422285648122,0.405530794109621,0.373046920242257,1
8D5U5543.tiff,0.227564188080287,0.410782144146254,0.36165366777346,1
8D5U5544.tiff,0.266883302032052,0.425676829598436,0.307439868369512,3
8D5U5545.tiff,0.37450246570273,0.437246706732365,0.188250827564905,2
8D5U5547.tiff,0.35953045629817,0.418462033007766,0.222007510694064,1
8D5U5548.tiff,0.362918892467958,0.439550267812378,0.197530839719663,3
8D5U5549.tiff,0.334101881503672,0.424814541564908,0.24108357693142,2
8D5U5550.tiff,0.344028491263364,0.426102831183367,0.229868677553269,2
8D5U5552.tiff,0.344079510044361,0.424915596674041,0.231004893281598,3
8D5U5553.tiff,0.342129636752586,0.423954110778037,0.233916252469377,3
8D5U5554.tiff,0.36075917702685,0.423414198047645,0.215826624925505,2
8D5U5555.tiff,0.337431953546138,0.422731158437264,0.239836888016598,3
8D5U5556.tiff,0.377337504749045,0.435260791077689,0.187401704173266,2
8D5U5557.tiff,0.371505434497004,0.437378230362577,0.191116335140418,2
8D5U5558.tiff,0.358375231468161,0.433754647247266,0.207870121284573,3
8D5U5560.tiff,0.244565556078453,0.411909366734257,0.343525077187289,1
8D5U5561.tiff,0.246858560585611,0.412806046683585,0.340335392730805,2
8D5U5562.tiff,0.241167686225822,0.408580053196777,0.350252260577402,2
8D5U5563.tiff,0.249379965912824,0.413689892575125,0.336930141512051,3
8D5U5564.tiff,0.233826230507825,0.408049565892093,0.358124203600082,3
8D5U5565.tiff,0.238898125058495,0.408703477816852,0.352398397124653,2
8D5U5566.tiff,0.244117554978361,0.41018577739967,0.345696667621969,3
8D5U5567.tiff,0.458858015441949,0.410143613391998,0.130998371166053,2
8D5U5568.tiff,0.392557475525108,0.41187130023431,0.195571224240582,1
8D5U5569.tiff,0.278673716571441,0.414174116722466,0.307152166706093,2
8D5U5570.tiff,0.249208075874406,0.410633689881215,0.34015823424438,3
8D5U5571.tiff,0.507525999226179,0.386146306766729,0.106327694007092,2
8D5U5572.tiff,0.283463177765233,0.424899116242564,0.291637705992203,1
8D5U5573.tiff,0.248480774627442,0.415156093962349,0.336363131410209,2
8D5U5574.tiff,0.256125692126076,0.413262041063151,0.330612266810773,2
8D5U5575.tiff,0.226184061258479,0.408165890664404,0.365650048077117,1
8D5U5576.tiff,0.24693770592057,0.411186836509478,0.341875457569952,2
8D5U5577.tiff,0.237433004159195,0.4108265063562,0.351740489484605,3
8D5U5578.tiff,0.396524579614872,0.401751173374876,0.201724247010252,2
8D5U5579.tiff,0.25292696596694,0.41756261286674,0.32951042116632,2
8D5U5580.tiff,0.389219775706794,0.403060641347633,0.207719582945573,2
8D5U5581.tiff,0.275988814539699,0.428462827452865,0.295548358007435,1
8D5U5582.tiff,0.249122409650027,0.421725637564687,0.329151952785286,1
8D5U5583.tiff,0.189778610573833,0.399041965693759,0.411179423732408,1
8D5U5584.tiff,0.183290047812469,0.395167858944815,0.421542093242716,1
8D5U5585.tiff,0.235544046859399,0.411209631376748,0.353246321763853,2
8D5U5586.tiff,0.223076693666832,0.410782307821517,0.366140998511651,1
8D5U5587.tiff,0.266655511534365,0.417917432760528,0.315427055705107,1
8D5U5588.tiff,0.303048458767397,0.411250990893832,0.285700550338772,2
8D5U5589.tiff,0.224253206817006,0.403741273394541,0.372005519788453,3
8D5U5592.tiff,0.296680029196486,0.413747476548736,0.289572494254778,1
8D5U5593.tiff,0.329051205239275,0.419404012265203,0.251544782495521,2
8D5U5594.tiff,0.316096592262427,0.412558240619711,0.271345167117863,3
8D5U5596.tiff,0.423355903994012,0.398950210509351,0.177693885496637,1
8D5U5597.tiff,0.260977651324976,0.423630920325401,0.315391428349623,3
8D5U5598.tiff,0.421722033932829,0.404663683499226,0.173614282567945,1
8D5U5599.tiff,0.450083721928884,0.399667403635091,0.150248874436025,2
8D5U5600.tiff,0.449577748702284,0.403099341713317,0.147322909584399,1
8D5U5601.tiff,0.337828023027099,0.423208007453851,0.23896396951905,1
8D5U5602.tiff,0.339825289546609,0.420338119250175,0.239836591203217,1
8D5U5603.tiff,0.347634971194978,0.422410351876098,0.229954676928924,1
8D5U5604.tiff,0.339356644960583,0.421625140468742,0.239018214570675,1
8D5U5606.tiff,0.308308747203359,0.430207305215858,0.261483947580783,1
8D5U5607.tiff,0.235333776989286,0.40982579880083,0.354840424209884,3
8D5U5608.tiff,0.235488883280416,0.408706789528102,0.355804327191482,3
8D5U5611.tiff,0.517079645936587,0.380302977673645,0.102617376389768,1
8D5U5612.tiff,0.463494218024039,0.388455820670031,0.148049961305929,1
8D5U5613.tiff,0.493715090970764,0.402201828971496,0.104083080057741,2
8D5U5614.tiff,0.503284591498823,0.381258994795166,0.115456413706011,3
8D5U5615.tiff,0.488793433283549,0.380803115876604,0.130403450839847,3
8D5U5617.tiff,0.472190882806081,0.39614662466579,0.131662492528129,1
8D5U5618.tiff,0.452451367817543,0.398143708118008,0.149404924064448,2
8D5U5619.tiff,0.472514005771094,0.390359907911689,0.137126086317218,2
8D5U5620.tiff,0.484660770871478,0.399931956318149,0.115407272810373,2
IMG_0281.tiff,0.209811020822989,0.450079932880143,0.340109046296868,2
IMG_0282.tiff,0.2089060312011,0.452598251337527,0.338495717461372,1
IMG_0283.tiff,0.209594209100094,0.449818065986001,0.340587724913906,3
IMG_0284.tiff,0.208953931689132,0.452387698645316,0.338658369665551,1
IMG_0285.tiff,0.210351588233305,0.453157308770889,0.336491102995806,3
IMG_0286.tiff,0.214605459163964,0.454687583637389,0.330706957198647,2
IMG_0287.tiff,0.22139278768809,0.456982721549787,0.321624490762123,3
IMG_0289.tiff,0.214050756498606,0.456755915971672,0.329193327529722,2
IMG_0290.tiff,0.214755704604468,0.453497980143683,0.331746315251849,3
IMG_0291.tiff,0.214786876753492,0.455815602192654,0.329397521053853,3
IMG_0292.tiff,0.226115208464578,0.459376559210998,0.314508232324423,1
IMG_0293.tiff,0.225671928211464,0.461286508971156,0.313041562817379,2
IMG_0295.tiff,0.214347389380877,0.453965687991514,0.331686922627609,3
IMG_0296.tiff,0.208823921734624,0.452396809205278,0.338779269060098,2
IMG_0297.tiff,0.222770857364467,0.455406761162494,0.32182238147304,1
IMG_0298.tiff,0.237919975540226,0.465938806349509,0.296141218110264,2
IMG_0300.tiff,0.207933796641658,0.45224811634653,0.339818087011812,1
IMG_0301.tiff,0.21160429238469,0.452249532360239,0.336146175255071,3
IMG_0302.tiff,0.217041941486258,0.455082183449104,0.327875875064638,2
IMG_0303.tiff,0.21684727244646,0.455522208850601,0.327630518702939,2
IMG_0305.tiff,0.21698237530952,0.457280779408112,0.325736845282368,2
IMG_0306.tiff,0.21552537830655,0.454235022470785,0.330239599222665,3
IMG_0307.tiff,0.216216111815852,0.454677441539944,0.329106446644204,1
IMG_0310.tiff,0.208608524247513,0.451654891348986,0.339736584403501,3
IMG_0313.tiff,0.216469310011873,0.454355527551391,0.329175162436735,3
IMG_0314.tiff,0.216272190141807,0.455030666747687,0.328697143110506,3
IMG_0315.tiff,0.216752585974965,0.455828084624575,0.32741932940046,1
IMG_0316.tiff,0.214799136189196,0.455180156407886,0.330020707402918,1
IMG_0317.tiff,0.21588947473641,0.451956722640644,0.332153802622946,2
IMG_0318.tiff,0.21197502586524,0.453793705489334,0.334231268645426,1
IMG_0319.tiff,0.218600587368062,0.45718135744819,0.324218055183748,1
IMG_0320.tiff,0.213885561813365,0.453618342850617,0.332496095336018,3
IMG_0321.tiff,0.213912524228183,0.45278131497792,0.333306160793897,2
IMG_0323.tiff,0.215337932982084,0.454477255973206,0.33018481104471,2
IMG_0324.tiff,0.2211375488863,0.456953341947898,0.321909109165803,2
IMG_0325.tiff,0.21536538324252,0.473643199197265,0.310991417560216,1
IMG_0327.tiff,0.232669613746288,0.477170834143898,0.290159552109814,1
IMG_0328.tiff,0.213355310915251,0.450756947387152,0.335887741697597,1
IMG_0329.tiff,0.212652666024332,0.451633038000241,0.335714295975427,1
IMG_0332.tiff,0.21800439923289,0.455658443346846,0.326337157420264,2
IMG_0333.tiff,0.217049403489542,0.456171070063739,0.326779526446719,1
IMG_0334.tiff,0.216128345505546,0.455155417368905,0.328716237125549,3
IMG_0335.tiff,0.208362269703268,0.452367512274251,0.33927021802248,3
IMG_0336.tiff,0.208910150316894,0.451758905071623,0.339330944611483,1
IMG_0337.tiff,0.208719574698356,0.451948049801076,0.339332375500568,3
IMG_0339.tiff,0.211617811480887,0.452952587505632,0.335429601013481,1
IMG_0340.tiff,0.209146351499015,0.455231358077222,0.335622290423762,3
IMG_0341.tiff,0.211991060962264,0.453344070068093,0.334664868969643,1
IMG_0342.tiff,0.211195053325532,0.449905513851302,0.338899432823167,2
